participant_id	ses	Other	Emotion	Realistic	Deliberate	Intrusive	Words	Abstract	Creative	Decoupling	Detailed	Temporal D	Future	Important	Stop	Vivid	Thematic	Past	Self	Evolving	Problem	Images	Habit
sub-ADIE041	baseline	4	3	4	1	1	1	1	1	3	2	1	3	4	4	1	3	1	3	3	1	1	3
sub-ADIE041	1yf	2	3	3	2	2	1	1	1	3	3	1	4	4	3	1	4	1	2	3	4	2	1
sub-ADIE058	3mf	4	4	4	3	1	2	2	1	3	3	1	3	3	3	3	3	3	3	1	3	4	3
sub-ADIE058	1yf	4	4	4	4	3	2	4	2	3	3	4	4	4	3	4	2	4	3	3	2	4	1
sub-ADIE094	3mf	1	4	1	1	1	3	1	4	1	3	1	1	1	1	1	1	1	1	1	4	1	3
sub-ADIE094	baseline	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1
sub-ADIE106	3mf	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
sub-ADIE106	1yf	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2
sub-ADIE107	3mf	3	3	3	4	1	4	2	1	2	3	1	3	4	3	1	3	2	3	2	1	1	4
sub-ADIE107	baseline	2	4	3	2	1	3	1	2	2	2	1	3	3	2	1	2	2	3	2	1	3	3
sub-ADIE107	1yf	3	3	3	3	1	3	4	1	1	2	4	2	4	3	1	1	2	2	2	3	1	2
sub-ADIE113	3mf	2	3	2	2	2	2	1	2	3	3	2	2	2	3	3	3	2	3	3	3	3	2
sub-ADIE113	baseline	2	3	3	2	2	2	2	1	3	2	3	3	3	3	3	2	2	3	2	2	3	3
sub-ADIE116	3mf	1	3	1	4	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	4	1	1
sub-ADIE118	3mf	3	4	1	1	2	2	4	1	1	4	1	1	3	1	3	1	1	4	1	4	1	1
sub-ADIE118	baseline	4	4	1	1	1	1	1	1	2	4	4	1	4	1	2	4	2	1	1	1	4	1
sub-ADIE118	1yf	1	4	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-ADIE125	3mf	1	3	1	3	1	3	3	1	3	3	1	1	2	1	3	3	1	1	2	2	2	3
sub-ADIE125	baseline	1	3	1	2	1	3	3	1	4	2	1	1	1	1	3	3	1	1	2	1	3	2
sub-ADIE125	1yf	1	3	1	1	1	3	1	1	2	1	1	2	1	2	1	4	1	1	1	1	3	3
sub-ADIE126	baseline	2	2	3	2	2	2	3	3	3	2	1	3	2	4	1	3	1	3	2	3	2	3
sub-ADIE126	1yf	2	2	2	3	4	3	3	2	3	1	1	2	1	4	1	4	1	4	2	2	1	4
sub-ADIE126	3mf	2	3	3	2	1	3	1	1	2	1	1	2	1	1	2	2	1	2	1	1	1	1
sub-ADIE129	baseline	3	2	4	2	3	3	1	1	4	2	3	3	4	4	3	2	2	3	2	1	2	4
sub-ADIE131	3mf	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1
sub-ADIE131	baseline	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1
sub-ADIE131	1yf	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-ADIE135	1yf	1	2	3	1	4	4	1	1	3	4	1	4	1	3	1	4	1	1	4	4	1	1
sub-ADIE135	3mf	1	2	3	1	3	4	1	1	1	3	1	4	1	3	1	4	3	1	3	4	1	4
sub-ADIE135	baseline	1	2	1	3	2	3	1	1	3	3	1	1	1	3	1	3	2	1	3	4	3	2
sub-ADIE138	3mf	1	4	1	2	1	1	3	3	3	3	1	3	3	3	3	3	1	3	3	3	3	3
sub-ADIE138	1yf	2	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3
sub-ADIE140	baseline	1	1	1	1	3	1	1	3	4	4	1	2	1	4	3	4	1	2	2	3	4	3
sub-ADIE141	baseline	2	3	4	3	3	4	2	1	4	3	1	3	1	4	1	1	2	3	2	2	1	3
sub-ADIE143	1yf	1	3	1	1	2	4	1	1	1	3	1	1	1	2	2	4	1	1	2	3	1	4
sub-ADIE143	3mf	1	2	1	1	3	1	1	1	3	2	1	1	1	3	2	3	1	1	1	1	2	3
sub-ADIE143	baseline	3	4	1	4	2	4	2	2	3	4	1	1	3	2	3	3	1	1	2	4	1	4
sub-ADIE144	baseline	3	3	3	3	3	3	1	1	3	2	4	3	3	4	1	4	3	3	2	4	1	4
sub-ADIE145	3mf	3	2	3	4	1	1	2	1	2	2	2	1	3	1	2	4	4	4	3	1	4	1
sub-ADIE145	baseline	3	4	1	4	3	2	2	4	4	2	2	2	4	2	2	2	1	3	3	4	2	2
sub-ADIE147	baseline	1	4	1	4	1	4	1	1	1	4	1	4	1	3	4	4	2	4	4	4	3	1
sub-ADIE147	3mf	1	4	1	4	1	4	1	1	1	4	1	1	1	1	4	4	1	4	4	1	4	1
sub-ADIE148	3mf	4	1	4	2	4	4	2	1	3	3	2	3	2	4	3	4	2	4	2	1	3	4
sub-ADIE148	baseline	1	2	1	2	2	3	3	1	3	3	3	1	2	4	1	3	1	3	1	1	2	1
sub-ADIE149	baseline	2	2	2	3	3	1	3	1	3	3	2	3	2	3	2	3	2	2	2	4	1	4
sub-ADIE150	baseline	2	3	1	3	1	3	2	2	2	3	1	2	2	2	2	2	2	1	3	1	3	3
sub-ADIE151	3mf	2	4	4	1	1	3	2	2	4	4	4	4	3	3	4	1	1	4	4	3	3	4
sub-ADIE151	baseline	1	2	3	4	3	3	2	1	4	4	2	3	1	4	3	3	3	3	3	4	2	3
sub-ADIE152	baseline	4	1	3	1	4	2	3	4	4	4	4	3	4	3	4	4	4	4	3	3	3	4
sub-ADIE157	3mf	1	4	1	2	1	3	1	1	2	2	1	1	2	2	2	3	1	2	2	1	2	2
sub-ADIE157	baseline	1	3	1	1	1	3	1	1	2	2	1	2	1	1	1	2	2	1	1	1	2	1
sub-ADIE159	3mf	1	4	1	4	1	4	4	1	3	3	1	1	1	3	2	4	1	2	3	4	1	3
sub-ADIE159	baseline	1	4	3	3	1	4	3	1	2	3	1	1	1	2	1	3	2	4	3	3	1	3
sub-ADIE166	3mf	2	3	2	4	3	1	2	1	2	3	2	2	3	2	3	1	1	2	3	1	4	4
sub-ADIE166	baseline	1	2	1	4	3	3	1	1	2	4	1	1	1	1	4	4	2	1	3	4	3	3
sub-ADIE169	baseline	2	2	1	4	1	3	1	2	2	3	1	1	3	1	4	4	1	1	2	3	3	2
sub-ADIE176	baseline	1	4	1	4	4	4	1	1	4	4	1	1	1	4	4	4	4	4	4	1	4	4
sub-ADIE177	baseline	1	3	3	3	3	3	1	3	3	3	2	3	3	2	2	2	3	2	4	4	3	3
sub-ADIE178	baseline	1	2	1	3	1	2	1	1	3	3	1	3	1	1	1	3	3	1	1	1	2	1
sub-ADIE178	3mf	1	4	1	4	1	1	1	1	1	4	1	1	1	1	1	4	2	1	4	4	4	2
sub-ADIE179	3mf	1	4	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	4	1
sub-ADIE179	baseline	1	4	1	1	1	1	3	1	1	2	1	1	3	1	1	4	1	1	1	4	4	1
sub-ADIE180	3mf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-ADIE180	baseline	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1
sub-ADIE184	3mf	1	3	2	3	1	3	1	1	1	3	1	2	1	2	3	4	1	1	1	4	2	1
sub-ADIE184	baseline	1	3	1	4	1	3	1	1	1	4	1	1	1	2	3	4	1	1	1	1	2	2
sub-ADIE185	3mf	1	3	1	2	1	4	1	1	1	2	1	1	1	1	2	3	1	2	1	1	2	1
sub-ADIE185	baseline	3	3	2	3	1	4	1	1	2	2	3	4	4	2	2	3	1	2	2	1	1	4
sub-ADIE190	3mf	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
sub-ADIE190	baseline	1	3	2	1	2	2	2	2	3	3	1	2	3	3	3	2	2	1	1	2	3	3
sub-ADIE199	baseline	1	2	2	1	3	1	1	1	3	1	2	2	1	4	1	1	1	1	1	1	1	4
sub-ADIE203	3mf	1	3	1	4	1	4	1	1	1	4	1	1	1	1	4	4	1	4	1	2	1	1
sub-ADIE203	baseline	1	2	1	1	3	4	1	1	2	4	2	1	1	2	1	3	1	4	4	4	1	4
sub-ADIE211	3mf	3	2	3	1	3	2	1	1	3	3	2	3	1	2	3	4	1	3	1	2	3	2
sub-ADIE211	baseline	1	2	1	3	2	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
sub-ADIE212	baseline	1	3	4	1	3	3	3	3	3	3	2	4	4	4	3	2	4	4	4	3	3	4
sub-ADIE214	baseline	3	2	3	2	4	3	3	3	3	2	2	2	4	3	2	2	2	3	2	3	3	1
sub-ADIE222	3mf	1	3	1	2	1	2	1	1	1	2	1	1	2	2	3	1	1	1	3	1	3	1
sub-ADIE222	baseline	1	3	1	3	1	1	2	2	2	1	1	1	2	2	3	2	1	1	1	3	2	2
sub-ADIE224	baseline	1	4	1	1	1	1	1	1	4	1	1	1	1	1	1	4	1	1	1	4	4	4
sub-ADIE225	baseline	3	2	2	4	2	2	2	3	3	4	1	1	4	4	3	2	3	2	1	4	2	4
sub-ADIE227	baseline	1	4	1	4	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	3	2	3
sub-ADIE234	baseline	1	2	1	2	1	2	1	1	2	2	1	2	2	1	1	3	2	1	1	1	2	1
sub-ADIE235	3mf	4	2	2	1	2	1	1	1	2	3	3	3	4	3	3	2	1	2	1	1	1	3
sub-ADIE235	baseline	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-ADIE238	3mf	1	3	3	2	1	2	3	3	3	3	3	4	3	3	2	2	3	4	3	4	2	3
sub-ADIE238	baseline	1	3	3	3	1	1	2	2	2	1	3	2	1	2	1	2	2	2	2	3	1	1
sub-ADIE240	baseline	1	3	4	3	2	2	2	1	3	2	2	2	2	3	4	3	3	4	2	3	4	3
sub-ADIE242	3mf	3	2	3	1	3	1	3	1	3	4	2	2	3	4	4	2	2	3	4	2	4	2
sub-ADIE242	baseline	1	3	1	2	2	1	3	2	4	3	2	1	3	3	4	3	1	1	3	2	4	1
sub-ADIE245	baseline	2	2	2	1	2	1	3	1	1	3	1	1	3	1	1	2	1	1	1	3	1	1
sub-ADIE247	3mf	1	3	1	4	1	3	2	1	4	4	1	3	1	2	3	4	2	3	3	3	3	4
sub-ADIE247	baseline	1	3	1	2	2	3	3	1	1	3	1	2	2	3	2	2	3	3	4	3	3	2
sub-ADIE251	3mf	1	3	1	4	1	4	1	2	2	1	1	1	1	2	1	1	1	2	1	2	2	1
